City,Pincode,Gender,Age Group,COVID-19 like symptoms,COVID-19 Diagnosed
Bangalore,410038,Male,60-80,23665,1128
Chennai,410054,Female,40-60,16715,1468
Bangalore,560095,Male,20-40,93594,497
Bangalore,400074,Male,80+,77616,535
Mumbai,400074,Male,40-60,99243,284
Nagpur,560095,Male,60-80,73569,1021
Nagpur,410038,Female,20-40,57092,1206
Pune,400065,Male,40-60,31876,1534
Nagpur,410067,Female,80+,60599,1168
Chennai,410054,Female,80+,9712,441
Mumbai,400074,Female,20-40,83043,1581
Mumbai,53000,Female,60-80,49282,1192
Chennai,410054,Female,40-60,51286,413
Nagpur,560095,Female,20-40,9537,558
Kolkata,400065,Female,80+,41523,388
Mumbai,410038,Male,40-60,38445,1551
Bangalore,410067,Female,20-40,2686,1749
Kolkata,560095,Male,20-40,71162,262
Pune,410038,Male,40-60,56078,1251
Nagpur,400074,Male,60-80,32009,1690
Nagpur,410038,Female,40-60,41098,1678
Bangalore,410038,Male,80+,88217,1332
Pune,410054,Male,80+,58883,1675
Pune,560095,Female,20-40,75066,1036
Chennai,400074,Female,80+,42349,672
Nagpur,400065,Male,60-80,96161,1586
Nagpur,410038,Female,60-80,66365,1154
Mumbai,560095,Female,80+,85895,837
Mumbai,400065,Female,60-80,62094,877
Nagpur,400074,Male,80+,46376,1835
Pune,410054,Female,60-80,25469,1368
Pune,410038,Male,60-80,26385,1407
Kolkata,400065,Female,60-80,44543,993
Bangalore,53000,Male,40-60,20521,1433
Bangalore,410054,Male,80+,6758,1216
Kolkata,410038,Male,20-40,60164,1316
Nagpur,410067,Female,20-40,14857,1460
Pune,400074,Male,80+,12329,666
Mumbai,410054,Female,80+,15849,1093
Bangalore,400065,Male,20-40,32748,1347
Kolkata,410054,Male,60-80,42998,1365
Mumbai,560095,Male,80+,67739,830
Mumbai,400074,Male,20-40,46091,1215
Nagpur,410067,Female,20-40,85589,661
Nagpur,400065,Male,80+,8061,1592
Bangalore,400065,Male,60-80,68952,1836
Bangalore,560095,Male,80+,57714,550
Nagpur,410054,Male,80+,31326,803
Mumbai,400065,Female,60-80,11437,1095
Kolkata,53000,Female,40-60,33709,591
Bangalore,400074,Female,40-60,24949,312
Nagpur,560095,Female,80+,81582,661
Bangalore,400074,Female,80+,13229,632
Nagpur,400065,Female,20-40,23735,388
Nagpur,410054,Female,40-60,74574,336
Mumbai,410067,Male,80+,56366,1562
Chennai,400074,Male,60-80,71287,1585
Chennai,400074,Female,60-80,59230,921
Bangalore,560095,Male,80+,72809,602
Chennai,410038,Male,40-60,3509,1836
Nagpur,410038,Male,80+,50779,220
Bangalore,410067,Male,20-40,85880,454
Pune,400074,Female,80+,81469,658
Pune,400074,Male,60-80,92479,1427
Nagpur,400074,Female,20-40,32565,264
Chennai,410054,Female,60-80,68203,696
Kolkata,400065,Male,40-60,98763,1696
Chennai,53000,Male,60-80,97253,764
Chennai,560095,Female,80+,25910,312
Kolkata,410054,Female,80+,99654,1236
Chennai,410067,Female,20-40,6477,1820
Nagpur,400065,Male,40-60,61763,866
Pune,400074,Female,60-80,37718,841
Nagpur,410038,Female,80+,73375,981
Bangalore,410067,Male,20-40,93867,560
Mumbai,53000,Female,20-40,12019,483
Kolkata,410067,Female,80+,89204,1139
Nagpur,53000,Female,60-80,21777,1475
Kolkata,410054,Male,40-60,81955,593
Nagpur,410054,Female,60-80,43705,1761
Pune,410038,Male,20-40,70908,1488
Mumbai,53000,Female,80+,40617,1594
Chennai,410038,Female,60-80,50938,835
Kolkata,410038,Female,20-40,93215,874
Pune,410067,Female,80+,43283,1596
Kolkata,560095,Male,20-40,80889,465
Kolkata,410054,Male,20-40,26396,743
Kolkata,560095,Male,80+,68184,831
Nagpur,400074,Male,80+,40553,640
Pune,400065,Female,40-60,63888,1566
Bangalore,410038,Male,80+,19722,1658
Mumbai,410054,Male,80+,84214,1388
Bangalore,53000,Female,80+,54346,212
Kolkata,410038,Male,20-40,53507,806
Nagpur,53000,Female,60-80,71063,1860
Chennai,410067,Male,40-60,59369,1483
Nagpur,560095,Female,80+,86240,1676
Kolkata,410054,Male,60-80,40013,1643
Mumbai,400074,Male,60-80,38665,1852
Bangalore,410067,Female,80+,20065,797
Bangalore,410067,Male,60-80,90013,475
Kolkata,410038,Male,20-40,46598,1833
Kolkata,410038,Female,20-40,13871,1115
Pune,53000,Male,80+,65699,1098
Chennai,410054,Female,60-80,43689,1165
Pune,400065,Male,60-80,41493,1823
Mumbai,410038,Male,60-80,48822,1205
Pune,400065,Female,20-40,85635,1624
Chennai,53000,Female,20-40,40057,276
Mumbai,410067,Female,60-80,78148,431
Nagpur,400065,Male,80+,42388,644
Nagpur,410054,Female,60-80,92091,1160
Nagpur,410038,Male,40-60,74464,981
Kolkata,53000,Female,20-40,9353,1642
Mumbai,400065,Male,80+,43179,1698
Nagpur,410054,Female,20-40,63599,1446
Kolkata,410038,Female,60-80,83054,969
Pune,560095,Female,40-60,90452,1079
Nagpur,410067,Female,60-80,75735,845
Nagpur,560095,Male,80+,90590,627
Mumbai,53000,Female,40-60,21542,641
Chennai,560095,Female,80+,42507,1736
Kolkata,400074,Female,80+,53946,1623
Mumbai,410054,Male,80+,12318,514
Chennai,53000,Female,20-40,37151,1746
Kolkata,560095,Male,20-40,17683,1498
Bangalore,560095,Female,60-80,20575,1113
Mumbai,410067,Female,20-40,29069,1285
Chennai,560095,Male,40-60,90391,879
Bangalore,560095,Male,40-60,65649,1053
Pune,53000,Male,40-60,28651,1148
Kolkata,560095,Female,40-60,10569,1714
Kolkata,400074,Male,20-40,13409,1003
Kolkata,400065,Male,20-40,11295,431
Kolkata,53000,Female,60-80,59023,227
Chennai,410054,Male,40-60,91601,1869
Nagpur,400074,Female,40-60,73401,1859
Pune,410054,Male,20-40,43944,407
Mumbai,410038,Male,60-80,22222,1609
Kolkata,410067,Male,60-80,56681,1562
Mumbai,410067,Female,60-80,25793,691
Nagpur,560095,Male,80+,19956,985
Nagpur,410067,Male,40-60,68509,619
Pune,400074,Female,60-80,62313,1503
Nagpur,400074,Female,60-80,49000,467
Kolkata,410054,Female,60-80,2915,936
Chennai,410038,Female,60-80,39287,1540
Nagpur,400074,Female,80+,11855,658
Pune,400065,Female,40-60,80751,1319
Kolkata,53000,Female,60-80,8061,991
Bangalore,400074,Female,40-60,81724,1240
Pune,53000,Female,40-60,2451,1832
Pune,400065,Female,40-60,67799,787
Chennai,410038,Male,40-60,56633,321
Bangalore,400065,Male,60-80,13940,710
Bangalore,410067,Male,60-80,4637,544
Pune,560095,Female,60-80,75055,1209
Pune,560095,Male,20-40,53929,1320
Mumbai,560095,Female,80+,46324,1676
Bangalore,400065,Male,20-40,70887,1843
Kolkata,410038,Female,80+,91893,1863
Mumbai,400074,Female,20-40,87442,1349
Mumbai,400065,Female,40-60,96924,434
Nagpur,410067,Male,40-60,18520,534
Kolkata,400065,Female,80+,11964,1357
Mumbai,410067,Female,20-40,91426,1593
Mumbai,410038,Female,60-80,48536,1875
Pune,410054,Female,40-60,31213,1635
Chennai,410038,Female,80+,79242,490
Kolkata,410067,Female,40-60,14966,1369
Chennai,410054,Female,60-80,14856,790
Mumbai,410038,Male,40-60,45988,1585
Bangalore,410054,Male,60-80,84642,1245
Bangalore,410054,Female,20-40,77681,1135
Mumbai,400074,Female,60-80,43185,789
Chennai,400074,Female,60-80,49774,1063
Kolkata,400065,Male,40-60,6092,570
Pune,410038,Male,80+,7760,1396
Mumbai,410038,Male,40-60,63624,1231
Pune,410038,Female,60-80,63514,1792
Kolkata,410067,Female,40-60,65715,1036
Mumbai,53000,Female,20-40,81837,207
Bangalore,410038,Male,40-60,49840,1510
Chennai,560095,Female,20-40,5497,1344
Nagpur,410054,Male,60-80,38530,1625
Mumbai,410067,Female,80+,28213,1351
Chennai,410054,Female,60-80,81340,892
Nagpur,410038,Male,20-40,67637,1194
Nagpur,410054,Female,60-80,27816,217
Nagpur,400065,Female,20-40,50779,1580
Bangalore,53000,Female,40-60,69512,1794
Nagpur,400065,Male,80+,51549,1058
Bangalore,410038,Female,20-40,15765,1717
Pune,53000,Female,60-80,7509,1160
Chennai,410038,Female,40-60,71123,936
Bangalore,410067,Female,20-40,38834,1528
Pune,410054,Male,20-40,74110,1844
Mumbai,53000,Female,80+,17440,877
Pune,410067,Male,20-40,39524,524
Bangalore,410067,Female,80+,59838,1125
Mumbai,53000,Male,80+,19633,954
Mumbai,53000,Female,60-80,80005,1796
Chennai,410038,Male,60-80,34429,293
Bangalore,410067,Male,80+,87957,1546
Chennai,53000,Male,80+,86850,1559
Mumbai,410038,Male,80+,28664,821
Mumbai,410038,Male,20-40,9588,1131
Kolkata,410067,Female,40-60,36950,643
Kolkata,400074,Female,20-40,41464,644
Chennai,400074,Male,60-80,62071,1070
Pune,410067,Male,60-80,85733,582
Chennai,53000,Female,20-40,29591,691
Nagpur,560095,Male,80+,63942,924
Bangalore,410038,Female,40-60,43831,1786
Pune,400074,Male,40-60,81376,938
Mumbai,410067,Female,20-40,95415,665
Kolkata,560095,Female,20-40,42300,1461
Chennai,560095,Male,20-40,33975,734
Chennai,560095,Female,80+,94565,754
Mumbai,53000,Male,40-60,11484,1293
Pune,410054,Male,80+,26493,1854
Bangalore,53000,Male,60-80,48093,1691
Bangalore,400065,Female,60-80,14788,496
Chennai,560095,Male,80+,87614,1409
Chennai,400074,Female,60-80,64508,1026
Bangalore,560095,Male,60-80,17308,493
Bangalore,410054,Male,20-40,77832,788
Bangalore,410067,Male,80+,56051,781
Nagpur,53000,Female,80+,84864,1155
Chennai,410038,Female,40-60,48643,811
Chennai,560095,Male,40-60,16127,796
Chennai,400065,Male,60-80,52512,1480
Pune,410054,Male,60-80,67037,1059
Pune,53000,Female,80+,52372,261
Mumbai,400074,Female,60-80,86803,1243
Bangalore,53000,Female,80+,27317,316
Mumbai,400074,Male,20-40,3670,1067
Nagpur,400065,Female,60-80,12003,733
Pune,410054,Male,80+,57155,762
Mumbai,53000,Female,40-60,99274,244
Chennai,410038,Male,80+,8222,657
Chennai,53000,Male,40-60,97179,1354
Chennai,410038,Female,80+,22222,1340
Bangalore,410067,Female,60-80,58227,1504
Chennai,53000,Female,40-60,79129,1016
Chennai,410054,Male,20-40,7061,835
Pune,410067,Female,80+,28000,1695
Chennai,410038,Female,80+,52755,295
Kolkata,53000,Male,20-40,11938,752
Chennai,53000,Female,20-40,38742,633
Bangalore,410067,Female,60-80,41547,474
Kolkata,560095,Male,20-40,10482,647
Nagpur,410067,Female,40-60,54663,1559
Mumbai,53000,Male,40-60,55700,1667
Chennai,400074,Male,20-40,47065,698
Nagpur,400074,Female,20-40,80675,1345
Nagpur,410038,Female,60-80,20693,1048
Pune,410067,Female,80+,11820,658
Kolkata,410054,Female,80+,28189,789
Bangalore,53000,Female,60-80,92915,1268
Pune,400074,Male,80+,96033,967
Nagpur,400065,Male,40-60,7373,663
Pune,410054,Female,60-80,38596,228
Mumbai,410067,Female,20-40,69064,1701
Bangalore,53000,Male,40-60,30220,1505
Nagpur,560095,Female,40-60,10247,1433
Pune,400074,Female,40-60,98807,549
Mumbai,410038,Male,20-40,85686,605
Kolkata,400074,Male,20-40,16763,1690
Nagpur,410038,Female,80+,13145,807
Pune,560095,Female,60-80,53023,268
Mumbai,400074,Male,60-80,6650,622
Pune,400074,Male,40-60,52061,1698
Bangalore,53000,Male,80+,16202,1298
Nagpur,560095,Male,20-40,65501,1654
Chennai,400065,Female,60-80,68619,1149
Pune,560095,Female,20-40,67852,241
Nagpur,53000,Female,40-60,75975,1161
Pune,560095,Female,40-60,23778,1753
Chennai,560095,Female,60-80,77059,1273
Kolkata,53000,Female,80+,64770,1378
Pune,400065,Female,60-80,94030,767
Mumbai,410067,Female,40-60,90906,736
Chennai,400074,Female,60-80,78459,1531
Chennai,560095,Male,60-80,81311,602
Chennai,53000,Female,40-60,42446,1356
Pune,410067,Male,80+,94353,1777
Mumbai,560095,Female,20-40,48527,1054
Kolkata,410038,Male,40-60,70339,1240
Nagpur,410038,Female,40-60,79350,1491
Mumbai,410038,Male,40-60,37703,577
Nagpur,400074,Female,60-80,91950,1027
Nagpur,560095,Female,40-60,77906,765
Kolkata,53000,Male,60-80,89664,499
Pune,53000,Male,40-60,57447,829
Mumbai,53000,Male,60-80,3970,1369
Chennai,400065,Male,80+,29092,1258
Mumbai,410067,Female,60-80,6891,1021
Mumbai,410067,Female,40-60,49856,1483
Pune,410067,Male,80+,13943,282
Nagpur,400065,Male,80+,65172,1713
Kolkata,53000,Male,80+,23371,1753
Bangalore,400065,Female,60-80,61946,1204
Mumbai,53000,Male,80+,38628,829
Bangalore,400074,Female,40-60,52209,628
Bangalore,53000,Male,60-80,83801,922
Mumbai,410067,Male,80+,9251,409
Mumbai,410054,Female,80+,40046,1080
Nagpur,410054,Female,40-60,24021,1077
Kolkata,410038,Male,20-40,15707,1242
Chennai,400074,Female,20-40,11886,395
Chennai,400065,Male,40-60,27069,1532
Mumbai,410038,Male,80+,86716,1723
Chennai,560095,Male,60-80,2803,1789
Nagpur,410054,Male,40-60,35727,1865
Kolkata,410067,Female,80+,29371,304
Pune,410054,Male,40-60,26931,275
Chennai,410054,Female,60-80,16007,1139
Chennai,560095,Male,40-60,4071,1828
Bangalore,410067,Male,20-40,32095,1578
Nagpur,410054,Male,80+,55960,1081
Mumbai,410038,Female,40-60,45119,1426
Chennai,410067,Male,20-40,13385,1117
Chennai,400065,Male,40-60,65439,1139
Chennai,560095,Male,20-40,69840,1130
Pune,53000,Female,80+,56214,605
Nagpur,410067,Male,60-80,71669,1856
Pune,400074,Male,80+,58249,1584
Mumbai,400065,Male,20-40,11529,802
Chennai,53000,Female,80+,62989,1794
Pune,400065,Male,80+,37008,894
Nagpur,410038,Female,20-40,12039,455
Nagpur,560095,Male,60-80,17510,1278
Nagpur,400065,Male,60-80,14640,1079
Mumbai,410054,Female,20-40,74157,1470
Bangalore,53000,Male,60-80,60843,1674
Nagpur,410038,Female,80+,14392,510
Mumbai,410038,Female,60-80,16023,712
Kolkata,410038,Female,80+,77009,378
Bangalore,560095,Male,60-80,71523,873
Mumbai,400074,Male,20-40,38222,284
Bangalore,53000,Female,20-40,24487,708
Bangalore,410054,Female,20-40,51653,1456
Nagpur,410054,Female,80+,63828,1628
Mumbai,410067,Male,20-40,38871,1816
Nagpur,53000,Male,80+,56900,947
Mumbai,400074,Female,60-80,3325,1549
Mumbai,53000,Male,60-80,14113,670
Nagpur,560095,Male,80+,41725,331
Chennai,410067,Female,40-60,83771,303
Chennai,410038,Male,80+,38227,1279
Nagpur,400074,Female,60-80,75326,1393
Pune,400065,Male,80+,84126,663
Pune,53000,Female,60-80,78541,438
Kolkata,410054,Male,40-60,98257,225
Kolkata,400074,Male,60-80,85471,405
Kolkata,410067,Male,60-80,33625,1856
Mumbai,410054,Female,20-40,83015,930
Bangalore,400074,Male,40-60,86012,804
Bangalore,410038,Female,20-40,3759,1476
Chennai,53000,Male,80+,16618,866
Pune,560095,Female,40-60,71404,1732
Chennai,410054,Female,80+,50615,1622
Pune,400065,Male,80+,55128,1094
Chennai,410038,Male,80+,11781,726
Pune,560095,Male,40-60,49618,643
Pune,560095,Female,20-40,22134,1081
Kolkata,410067,Female,40-60,30262,464
Mumbai,410038,Male,80+,71402,1193
Chennai,400065,Female,80+,6132,843
Kolkata,400065,Female,60-80,34773,898
Chennai,400074,Male,60-80,74033,1433
Nagpur,400065,Female,60-80,89857,755
Chennai,400074,Male,20-40,95999,1414
Nagpur,400074,Female,80+,89265,1338
Mumbai,400074,Female,40-60,80709,1840
Bangalore,400065,Male,20-40,26969,578
Pune,400065,Female,80+,83077,1532
Bangalore,400065,Female,80+,51090,891
Nagpur,53000,Male,20-40,31139,1155
Nagpur,560095,Male,40-60,21694,1457
Nagpur,53000,Male,80+,41149,1621
Nagpur,560095,Male,80+,57419,847
Bangalore,400065,Female,80+,6866,1762
Nagpur,560095,Female,40-60,78010,1893
Nagpur,410038,Female,80+,30651,1674
Bangalore,400065,Male,80+,74776,1271
Kolkata,560095,Female,20-40,81890,513
Chennai,410054,Male,80+,14180,1146
Kolkata,53000,Female,40-60,15991,1871
Chennai,560095,Female,60-80,84873,800
Nagpur,400065,Female,40-60,17626,620
Nagpur,410054,Female,60-80,95264,785
Kolkata,410054,Female,40-60,11025,917
Nagpur,560095,Female,80+,19386,333
Chennai,410054,Male,60-80,51677,1193
Bangalore,410054,Female,80+,64485,792
Nagpur,410038,Female,20-40,9012,893
Bangalore,53000,Female,60-80,41363,918
Mumbai,410054,Female,60-80,9555,1854
Chennai,560095,Male,80+,15110,1729
Mumbai,560095,Male,60-80,87462,619
Chennai,560095,Male,80+,47732,1870
Pune,53000,Male,80+,9345,1282
Pune,410067,Female,60-80,21526,1027
Mumbai,400074,Female,80+,93639,1537
Bangalore,53000,Female,60-80,25642,549
Kolkata,400074,Female,80+,90491,1139
Mumbai,410067,Female,40-60,20534,777
Kolkata,410054,Male,40-60,91643,1511
Pune,560095,Male,20-40,99195,1331
Bangalore,400074,Male,60-80,58517,911
Nagpur,410038,Male,80+,88934,1180
Pune,400065,Male,60-80,99348,590
Pune,410054,Female,80+,3309,1410
Kolkata,410054,Male,80+,8321,865
Mumbai,410067,Male,60-80,11411,1193
Pune,410067,Male,80+,19697,406
Pune,400074,Male,60-80,58729,1186
Kolkata,400074,Male,20-40,64718,1714
Bangalore,400065,Female,20-40,93481,553
Bangalore,400065,Female,20-40,47874,344
Mumbai,400065,Male,60-80,54079,1501
Kolkata,410067,Male,40-60,33412,803
Chennai,410054,Male,80+,30050,711
Mumbai,400065,Female,40-60,61259,1120
Pune,53000,Male,60-80,37017,963
Nagpur,410054,Male,20-40,97931,1202
Nagpur,53000,Male,80+,52254,554
Mumbai,410038,Female,60-80,93089,1216
Kolkata,410038,Male,60-80,31066,1077
Kolkata,410038,Female,80+,88123,1552
Chennai,53000,Female,60-80,51673,465
Nagpur,410067,Male,80+,37441,360
Nagpur,400074,Female,60-80,14847,938
Mumbai,53000,Female,80+,11439,1081
Chennai,410054,Male,20-40,88593,803
Pune,410038,Female,80+,12329,1371
Bangalore,400065,Female,20-40,71407,1734
Mumbai,410038,Male,40-60,5411,1081
Nagpur,410067,Female,80+,98240,1869
Mumbai,400065,Male,60-80,39938,396
Bangalore,400065,Female,40-60,83212,1659
Kolkata,53000,Female,20-40,34568,1763
Kolkata,410038,Male,60-80,41600,383
Mumbai,560095,Female,80+,95364,340
Mumbai,400074,Female,20-40,63639,472
Chennai,560095,Male,20-40,60882,1322
Mumbai,400074,Female,60-80,31889,1392
Nagpur,410067,Male,80+,69904,1761
Chennai,53000,Female,40-60,31810,778
Kolkata,400074,Female,40-60,82472,1812
Mumbai,400074,Male,20-40,54193,345
Pune,400074,Female,20-40,23469,1323
Mumbai,53000,Male,20-40,16964,439
Bangalore,410038,Female,60-80,77237,1546
Kolkata,410038,Male,20-40,14167,1533
Bangalore,410038,Male,60-80,78947,1323
Bangalore,400074,Male,20-40,38878,244
Mumbai,53000,Female,80+,86200,1847
Pune,560095,Male,20-40,37460,957
Nagpur,400065,Female,80+,32505,523
Chennai,560095,Female,80+,43445,598
Pune,400074,Male,80+,65004,1001
Mumbai,410038,Female,80+,74965,575
Nagpur,400074,Female,60-80,99819,1655
Mumbai,410054,Female,20-40,72496,830
Pune,53000,Female,80+,34747,722
Bangalore,560095,Female,80+,51864,845
Bangalore,410067,Female,40-60,19987,1173
Bangalore,53000,Male,20-40,48953,1251
Mumbai,53000,Male,80+,58940,636
Kolkata,410054,Male,60-80,45933,963
Kolkata,410038,Female,20-40,16538,1522
Nagpur,410054,Male,40-60,17241,1428
Kolkata,560095,Female,60-80,49359,385
Mumbai,53000,Female,60-80,74494,222
Chennai,410054,Male,80+,77150,1518
Pune,560095,Female,80+,29911,1165
Kolkata,410054,Female,80+,60639,883
Chennai,410067,Female,20-40,80793,1396
Mumbai,410054,Male,80+,48305,576
Bangalore,410054,Female,20-40,61898,823
Kolkata,53000,Female,40-60,59741,345
Nagpur,410038,Female,20-40,48821,1394
Kolkata,410054,Female,20-40,66173,1762
Nagpur,410038,Male,60-80,42676,869
Nagpur,400074,Female,80+,61994,976
Pune,400074,Female,80+,46612,783
Bangalore,410067,Male,80+,36283,1446
Pune,560095,Male,80+,91220,323
Kolkata,560095,Male,20-40,43449,972
